rank,zp_minmax,sim_mwh,dominant_mwh,heat_mwh,cool_mwh,i1,i2,i3,i4,i5
104,0.013016157,2521.813,193744.838,114510.022,81756.629,10,12,14,15,17
105,0.013018422,2531.281,194438.354,114997.771,81971.864,10,11,14,15,17
106,0.013029961,2522.109,193562.280,114326.248,81758.141,9,11,14,16,17
107,0.013034336,2517.827,193168.816,113834.560,81852.083,11,12,14,15,16
108,0.013037520,2514.506,192866.899,113838.499,81542.906,9,12,14,16,17
109,0.013038189,2518.979,193200.062,114325.323,81393.717,10,12,14,15,16
110,0.013038485,2528.083,193893.941,114813.073,81608.951,10,11,14,15,16
111,0.013039504,2524.349,193592.437,114817.011,81299.774,9,10,14,16,17
112,0.013045930,2516.884,192924.822,114217.319,81224.387,9,10,15,16,17
113,0.013047145,2507.644,192198.681,113238.806,81467.519,9,12,15,16,17
114,0.013047769,2516.817,192892.492,113726.555,81682.753,9,11,15,16,17
115,0.013052342,2540.376,194629.931,115478.277,81692.031,9,13,14,15,16
116,0.013077442,2540.281,194249.053,114929.057,81860.276,9,10,14,15,17
117,0.013082475,2531.749,193522.204,113950.545,82103.408,9,12,14,15,17
118,0.013083405,2541.006,194215.931,114438.294,82318.643,9,11,14,15,17
119,0.013112432,2530.384,192975.958,113765.847,81740.496,9,12,14,15,16
120,0.013112440,2539.903,193701.819,114744.359,81497.364,9,10,14,15,16
121,0.013117073,2540.370,193668.956,114253.596,81955.730,9,11,14,15,16
122,0.013117510,2534.954,193249.604,114554.751,81229.806,13,14,15,16,17
123,0.013161340,2530.830,192292.746,113330.070,81493.506,11,14,15,16,17
124,0.013168698,2532.648,192323.325,113820.834,81035.139,10,14,15,16,17
125,0.013171387,2523.598,191596.994,112842.321,81278.271,12,14,15,16,17
126,0.013242543,2543.884,192099.390,113261.357,81381.918,9,14,15,16,17
127,0.014897387,13001.658,872747.539,148206.497,737542.700,17,18,19,20,21
128,0.014907283,13033.646,874313.998,149689.499,737658.146,10,18,19,20,21
129,0.014917417,13020.719,872853.415,148133.844,737740.289,15,18,19,20,21
130,0.014920436,13013.428,872188.158,148021.798,737179.788,16,18,19,20,21
131,0.014948451,13058.279,873553.985,148710.987,737901.278,12,18,19,20,21
132,0.014950548,13067.783,874067.164,149130.022,738004.924,9,18,19,20,21
133,0.014963530,13081.621,874233.627,149198.736,738116.512,11,18,19,20,21
134,0.014963634,13070.417,873478.797,148733.537,737815.677,14,18,19,20,21
135,0.014964372,13096.514,875179.715,150423.417,737852.813,13,18,19,20,21
136,0.015946412,10826.200,678911.378,144316.942,545420.636,10,17,18,19,20
137,0.015955179,10871.745,681392.866,146533.863,545730.749,10,13,18,19,20
138,0.015965552,10840.954,679021.561,144244.290,545618.226,10,15,18,19,20
139,0.015966132,10861.156,680262.173,145240.468,545882.861,9,10,18,19,20
140,0.015968628,10817.886,677446.181,142761.288,545502.780,15,17,18,19,20
141,0.015974323,10858.422,679742.224,144821.432,545779.214,10,12,18,19,20
142,0.015976855,10861.146,679805.017,145050.860,545615.303,13,17,18,19,20
143,0.015981845,10846.532,678678.348,143757.465,545767.415,9,17,18,19,20
144,0.015984688,10840.208,678161.990,143338.430,545663.768,12,17,18,19,20
145,0.015995041,10857.314,678792.503,143684.813,545965.004,9,15,18,19,20
146,0.015995554,10850.417,678339.551,144132.244,545057.724,10,16,18,19,20
147,0.015999130,10851.815,678275.320,143265.778,545861.358,12,15,18,19,20
148,0.015999331,10827.767,676763.752,142649.242,544942.278,16,17,18,19,20
149,0.016001498,10879.603,679911.498,144978.208,545812.893,13,15,18,19,20
150,0.016003175,10900.584,681151.329,145974.386,546077.528,9,13,18,19,20
151,0.016005054,10890.056,680413.573,145309.181,545994.448,10,11,18,19,20
152,0.016006919,10834.790,676881.667,142576.589,545139.867,15,16,18,19,20
153,0.016008973,10878.252,679509.696,144261.955,546125.993,9,12,18,19,20
154,0.016009266,10880.807,679656.789,144843.983,545693.613,10,14,18,19,20
155,0.016010338,10897.150,680632.081,145555.350,545973.881,12,13,18,19,20
156,0.016012699,10869.984,678835.198,143826.179,545879.003,11,17,18,19,20
157,0.016017444,10861.078,678078.070,143360.980,545578.168,14,17,18,19,20
158,0.016026534,10881.198,678948.920,143753.527,546076.592,11,15,18,19,20
159,0.016027541,10860.172,677594.415,143153.732,545300.856,12,16,18,19,20
160,0.016027790,10868.583,678108.686,143572.767,545404.503,9,16,18,19,20
161,0.016028355,10886.965,679231.588,144866.162,545252.391,13,16,18,19,20
162,0.016031803,10872.632,678191.453,143288.328,545775.757,14,15,18,19,20
163,0.016038401,10909.030,680181.901,144749.704,546341.227,9,11,18,19,20
164,0.016039038,10927.472,681304.742,146043.099,546189.115,11,13,18,19,20
165,0.016039651,10901.616,679666.633,144330.669,546237.580,11,12,18,19,20
166,0.016043375,10918.285,680547.896,145577.900,545888.280,13,14,18,19,20
167,0.016045212,10901.492,679423.405,144284.506,546040.392,9,14,18,19,20
168,0.016047877,10895.019,678907.196,143865.470,545936.745,12,14,18,19,20
169,0.016054022,10888.940,678268.631,143641.481,545516.090,11,16,18,19,20
170,0.016059136,10880.246,677511.291,143176.282,545215.255,14,16,18,19,20
171,0.016073668,10923.373,679581.826,144353.219,546151.979,11,14,18,19,20
172,0.017332822,13755.850,793630.132,153651.714,653734.268,10,17,18,19,21
173,0.017339411,13735.875,792176.596,152096.059,653816.412,15,17,18,19,21
174,0.017355514,13769.923,793403.361,153092.237,654081.047,9,17,18,19,21
175,0.017356019,13737.334,791502.589,151984.013,653255.910,16,17,18,19,21
176,0.017360727,13765.069,792885.532,152673.202,653977.400,12,17,18,19,21
177,0.017361399,13780.275,793730.644,153579.062,653931.857,10,15,18,19,21
178,0.017361968,13802.235,794969.497,154575.240,654196.492,9,10,18,19,21
179,0.017370464,13828.360,796084.655,155868.634,654044.381,10,13,18,19,21
180,0.017370978,13800.351,794448.698,154156.204,654092.845,10,12,18,19,21
181,0.017371354,13801.763,794512.804,154385.632,653928.935,13,17,18,19,21
182,0.017372243,13752.089,791612.771,151911.361,653453.499,15,16,18,19,21
183,0.017372567,13777.503,793060.868,153467.016,653371.355,10,16,18,19,21
184,0.017379007,13790.378,793507.842,153019.585,654278.636,9,15,18,19,21
185,0.017380330,13779.269,792808.282,152695.752,653891.799,14,17,18,19,21
186,0.017380824,13782.866,792992.672,152600.549,654174.989,12,15,18,19,21
187,0.017385003,13796.001,793557.584,153160.951,654192.634,11,17,18,19,21
188,0.017390776,13788.061,792837.612,152907.539,653718.134,9,16,18,19,21
189,0.017391391,13812.655,794223.697,153596.727,654439.624,9,12,18,19,21
190,0.017391760,13779.893,792323.097,152488.503,653614.487,12,16,18,19,21
191,0.017396387,13819.114,794366.886,154178.754,654007.245,10,14,18,19,21
192,0.017397629,13824.418,794615.086,154312.980,654126.524,13,15,18,19,21
193,0.017398621,13846.754,795853.562,155309.157,654391.159,9,13,18,19,21
194,0.017400375,13835.328,795116.704,154643.953,654308.080,10,11,18,19,21
195,0.017400467,13797.098,792915.390,152623.100,654089.389,14,15,18,19,21
196,0.017403134,13812.280,793666.242,153088.298,654390.223,11,15,18,19,21
197,0.017409283,13822.012,793944.944,154200.934,653566.022,13,16,18,19,21
198,0.017410884,13847.402,795330.232,154890.122,654287.513,12,13,18,19,21
199,0.017413192,13795.504,792244.436,152511.054,653528.887,14,16,18,19,21
200,0.017413832,13829.094,794144.207,153619.278,654354.024,9,14,18,19,21
201,0.017417265,13811.790,792994.185,152976.252,653829.722,11,16,18,19,21
202,0.017417712,13845.237,794894.098,154084.476,654654.859,9,11,18,19,21
203,0.017418540,13823.820,793626.799,153200.242,654250.377,12,14,18,19,21
204,0.017422465,13839.999,794376.653,153665.441,654551.212,11,12,18,19,21
205,0.017432094,13862.902,795251.682,154912.672,654201.912,13,14,18,19,21
206,0.017436463,13879.445,796001.173,155377.871,654502.747,11,13,18,19,21
207,0.017443614,13855.431,794298.171,153687.991,654465.611,11,14,18,19,21
208,0.017466779,13988.866,800884.140,148621.675,666251.331,15,17,18,20,21
209,0.017471926,14018.221,802328.296,150177.330,666169.187,10,17,18,20,21
210,0.017483993,13990.859,800209.599,148509.629,665690.829,16,17,18,20,21
211,0.017490047,14028.853,802104.966,149617.853,666515.966,9,17,18,20,21
212,0.017492646,14021.917,801589.220,149198.817,666412.319,12,17,18,20,21
213,0.017495929,14039.296,802432.158,150104.678,666366.776,10,15,18,20,21
214,0.017497798,14003.864,800321.531,148436.977,665888.418,15,16,18,20,21
215,0.017502980,14066.545,803665.722,151100.855,666631.411,9,10,18,20,21
216,0.017503644,14059.205,803215.897,150911.248,666363.854,13,17,18,20,21
217,0.017506517,14036.075,801762.831,149992.632,665806.274,10,16,18,20,21
218,0.017506921,14060.665,803148.919,150681.820,666527.764,10,12,18,20,21
219,0.017510440,14038.085,801697.988,149126.165,666609.908,12,15,18,20,21
220,0.017510492,14092.119,804781.431,152394.250,666479.299,10,13,18,20,21
221,0.017511504,14048.871,802265.249,149686.566,666627.553,11,17,18,20,21
222,0.017513699,14037.416,801510.670,149221.368,666326.718,14,17,18,20,21
223,0.017514338,14050.153,802208.603,149545.201,666713.555,9,15,18,20,21
224,0.017520325,14034.293,801029.233,149014.119,666049.406,12,16,18,20,21
225,0.017524433,14046.528,801539.680,149433.155,666153.053,9,16,18,20,21
226,0.017527864,14080.476,803319.562,150838.595,666561.443,13,15,18,20,21
227,0.017529240,14074.618,802922.269,150122.343,666874.543,9,12,18,20,21
228,0.017530039,14052.440,801620.583,149148.715,666524.308,14,15,18,20,21
229,0.017530736,14066.187,802372.870,149613.914,666825.142,11,15,18,20,21
230,0.017535041,14081.773,803064.761,150704.370,666442.164,10,14,18,20,21
231,0.017535693,14095.490,803817.078,151169.569,666742.999,10,11,18,20,21
232,0.017539981,14078.449,802649.042,150726.549,666000.941,13,16,18,20,21
233,0.017540867,14112.476,804548.375,151834.773,666826.078,9,13,18,20,21
234,0.017542610,14050.748,800949.727,149036.669,665963.806,14,16,18,20,21
235,0.017544447,14065.402,801701.107,149501.868,666264.641,11,16,18,20,21
236,0.017545811,14107.372,804030.797,151415.738,666722.432,12,13,18,20,21
237,0.017551219,14095.070,803082.117,150191.056,666986.131,11,12,18,20,21
238,0.017553604,14083.738,802327.416,149725.858,666685.296,12,14,18,20,21
239,0.017553941,14106.235,803593.634,150610.092,667089.778,9,11,18,20,21
240,0.017554774,14093.678,802840.158,150144.893,666788.943,9,14,18,20,21
241,0.017568430,14124.156,803950.963,151438.288,666636.831,13,14,18,20,21
242,0.017568916,14137.766,804703.386,151903.487,666937.666,11,13,18,20,21
243,0.017574067,14112.013,803002.124,150213.607,666900.530,11,14,18,20,21
244,0.017831346,10726.910,601576.038,150496.078,461806.871,10,13,17,18,19
245,0.017836273,10754.106,602934.593,151419.603,462269.095,9,10,13,18,19
246,0.017844990,10714.965,600446.701,149202.683,461958.983,9,10,17,18,19
247,0.017853578,10755.189,602410.827,151000.568,462165.449,10,12,13,18,19
248,0.017862800,10747.693,601680.193,150423.425,462004.460,10,13,15,18,19
249,0.017868967,10719.934,599919.050,148783.647,461855.336,10,12,17,18,19
250,0.017868995,10706.992,599193.861,148206.505,461694.348,10,15,17,18,19
251,0.017869011,10744.287,601280.447,149707.173,462317.560,9,10,12,18,19
252,0.017875993,10780.800,603088.200,151488.317,462380.683,10,11,13,18,19
253,0.017876083,10735.501,600551.102,149130.031,462156.572,9,10,15,18,19
254,0.017882085,10770.952,602332.014,151023.118,462079.848,10,13,14,18,19
255,0.017882487,10753.399,601336.852,149936.601,462153.650,9,13,17,18,19
256,0.017883570,10748.154,601007.184,150311.379,461443.959,10,13,16,18,19
257,0.017889664,10744.487,600597.479,149271.396,462070.570,10,11,17,18,19
258,0.017890609,10707.895,598520.411,148094.459,461133.846,10,16,17,18,19
259,0.017892128,10735.780,600028.140,148710.995,462052.925,10,12,15,18,19
260,0.017892831,10770.715,601957.002,150194.922,462532.795,9,10,11,18,19
261,0.017894405,10733.818,599842.116,148806.198,461769.736,10,14,17,18,19
262,0.017896484,10735.713,599878.342,149017.985,461596.070,9,10,16,18,19
263,0.017896621,10759.488,601202.195,149729.723,462231.960,9,10,14,18,19
264,0.017903030,10743.359,600086.079,148940.423,461889.015,13,15,17,18,19
265,0.017903396,10756.557,600811.011,149517.565,462050.003,12,13,17,18,19
266,0.017907643,10726.001,598962.154,147647.028,462041.127,9,15,17,18,19
267,0.017909699,10771.493,601433.541,149775.886,462429.148,10,11,12,18,19
268,0.017910335,10785.036,602168.282,150441.091,462512.227,9,12,13,18,19
269,0.017910980,10722.071,598631.171,148021.807,461331.435,10,15,16,18,19
270,0.017912432,10741.808,599684.478,148224.170,462202.115,9,12,17,18,19
271,0.017912795,10773.502,601441.686,149863.949,462351.239,9,13,15,18,19
272,0.017913816,10760.936,600705.967,149198.744,462268.160,10,11,15,18,19
273,0.017914478,10737.119,599354.254,148598.949,461492.424,10,12,16,18,19
274,0.017916049,10748.771,599952.099,148733.545,461967.325,10,14,15,18,19
275,0.017916251,10761.882,600677.119,149310.688,462128.313,10,12,14,18,19
276,0.017921023,10779.338,601491.214,150005.314,462265.237,11,13,17,18,19
277,0.017926561,10745.387,599411.503,148828.377,461328.513,13,16,17,18,19
278,0.017928948,10808.428,602847.874,150928.840,462727.462,9,11,13,18,19
279,0.017929536,10764.266,600365.003,148711.919,462417.349,9,11,17,18,19
280,0.017929743,10729.798,598435.675,147227.993,461937.480,12,15,17,18,19
281,0.017930378,10771.372,600733.146,149540.116,461964.403,13,14,17,18,19
282,0.017930673,10774.858,600917.647,149444.913,462247.592,12,13,15,18,19
283,0.017933417,10729.318,598286.289,147534.982,461480.625,9,16,17,18,19
284,0.017933917,10774.133,600768.507,149751.902,461790.737,9,13,16,18,19
285,0.017934123,10761.071,600033.285,149086.698,461707.658,10,11,16,18,19
286,0.017934199,10798.042,602092.226,150463.641,462426.627,9,13,14,18,19
287,0.017935362,10785.546,601356.439,149798.437,462343.547,10,11,14,18,19
288,0.017937094,10758.538,599792.685,148151.518,462399.704,9,12,15,18,19
289,0.017938312,10755.943,599607.292,148246.721,462116.514,9,14,17,18,19
290,0.017939468,10750.721,599277.601,148621.499,461406.823,10,14,16,18,19
291,0.017944460,10808.400,602325.219,150509.804,462623.815,11,12,13,18,19
292,0.017948270,10797.640,601597.848,149932.662,462462.827,11,13,15,18,19
293,0.017948897,10766.468,599840.118,148292.884,462313.702,11,12,17,18,19
294,0.017950073,10716.874,597037.920,146538.804,461215.990,15,16,17,18,19
295,0.017950091,10761.446,599520.381,148755.725,461526.102,13,15,16,18,19
296,0.017950501,10754.397,599114.058,147715.742,462152.714,11,15,17,18,19
297,0.017951686,10775.402,600244.556,149332.867,461687.091,12,13,16,18,19
